Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useLayoutEffect.json-2,471",150,158,102,319,516,705,52,723,0.667%,.62714,4.13,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/react-compiler.json-2,472",150,102,78,156,191,680,49,690,2.000%,.62729,1.08,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useEffectEvent.json-2,473",150,161,105,318,458,948,49,1253,0.000%,.62733,4.32,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useEffect.json-2,474",150,268,174,514,864,1278,56,1686,2.000%,.62737,11.83,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useEffectEvent.json-2,475",150,137,108,261,327,588,50,770,1.333%,.62725,4.31,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useReducer.json-2,477",150,287,111,363,509,1415,52,17781,0.667%,.62720,6.04,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useRef.json-2,478",150,173,103,293,442,707,51,4558,0.667%,.62725,4.48,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useSyncExternalStore.json-2,479",150,148,100,283,420,588,51,904,0.667%,.62732,4.17,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useOptimistic.json-2,476",150,195,122,353,546,1319,54,1521,1.333%,.62800,7.42,0.34
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663617227&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&tag_exp=0~115938465~115938469~116991816~117266401~117512543~118463801&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2Freference%2Freact%2Fapis&dt=Built-in%20React%20APIs%20%E2%80%93%20React&_s=2&tfd=14007-2,481",150,113,82,161,380,519,55,522,0.000%,.62804,0.51,0.71
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useState.json-2,480",150,213,128,491,658,1256,55,1305,2.000%,.62797,8.48,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,482",150,101,71,138,241,460,48,1206,0.667%,.62819,0.82,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useState.json-2,484",150,222,150,488,658,978,51,1475,1.333%,.62838,8.48,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useRef.json-2,485",150,189,107,372,616,1681,51,2145,1.333%,.62878,4.49,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useSyncExternalStore.json-2,486",150,192,105,333,510,1521,53,5023,0.667%,.62906,4.18,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useTransition.json-2,483",150,209,148,428,529,1308,53,1522,2.667%,.62922,8.34,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useState.json-2,487",150,211,137,387,539,1438,56,3273,1.333%,.62968,8.50,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useSyncExternalStore.json-2,488",150,147,103,289,402,587,52,835,0.667%,.62998,4.19,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useTransition.json-2,489",150,208,137,394,632,1616,52,2217,0.667%,.63003,8.35,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,490",150,114,75,198,339,712,49,724,0.667%,.62866,0.83,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json-2,491",150,155,79,313,423,894,50,3532,2.000%,.62832,1.09,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/hooks.json-2,492",150,117,77,193,291,759,49,1061,0.667%,.62853,0.96,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/static.json-2,493",150,116,77,201,334,477,49,996,0.667%,.62855,1.00,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/server.json-2,494",150,114,76,165,250,760,49,895,0.667%,.62839,1.10,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/client.json-2,495",150,137,77,202,413,1011,50,1067,1.333%,.62947,0.85,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom.json-2,496",150,150,85,309,504,1099,50,1105,2.000%,.62959,1.29,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-compiler/directives.json-2,497",150,156,84,352,444,1174,48,1352,2.000%,.63215,2.01,0.35
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-compiler/compiling-libraries.json-2,498",150,134,89,233,379,966,48,1107,0.667%,.63501,1.69,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/static.json-2,499",150,127,81,222,328,667,49,1536,1.333%,.63512,1.01,0.34
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community.json-2,501",150,159,76,283,444,870,50,4479,0.000%,.63519,1.17,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog.json-2,500",150,188,94,278,442,1538,51,5312,1.333%,.63693,2.90,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community.json-2,502",150,172,78,330,536,1856,48,2156,0.000%,.63849,1.17,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog.json-2,503",150,210,95,293,391,2484,51,7679,2.667%,.64341,2.93,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/12/11/denial-of-service-and-source-code-exposure-in-react-server-components.json-2,505",150,173,98,280,517,1223,52,2706,0.667%,.64801,3.48,0.43
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog.json?markdownPath=blog-2,504",150,93,70,141,220,435,48,564,0.667%,.65532,0.37,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/12/03/critical-security-vulnerability-in-react-server-components.json-2,506",150,152,95,259,412,1061,51,1872,0.000%,.65646,2.96,0.42
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2026/02/24/the-react-foundation.json-2,507",150,149,85,232,371,858,48,3734,0.667%,.65671,1.60,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2026/02/24/the-react-foundation.json-2,508",150,132,79,253,339,711,47,2298,1.333%,.65676,1.60,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/10/16/react-conf-2025-recap.json-2,509",150,178,106,338,480,1975,49,2188,4.667%,.65749,3.92,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/12/03/critical-security-vulnerability-in-react-server-components.json-2,510",150,134,85,209,465,857,50,859,2.667%,.66360,2.99,0.42
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/10/07/react-compiler-1.json-2,511",150,177,121,303,421,1031,50,1861,2.000%,.66593,5.04,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/10/16/react-conf-2025-recap.json-2,512",150,161,101,297,489,1007,50,1654,1.333%,.66978,3.99,0.38
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/12/03/critical-security-vulnerability-in-react-server-components.json-2,513",150,145,89,310,441,926,49,1063,0.667%,.67041,3.02,0.43
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog/2025/12/03/critical-security-vulnerability-in-react-server-components.json?markdownPath=blog&markdownPath=2025&markdownPath=12&markdownPath=03&markdownPath=critical-security-vulnerability-in-react-server-components-2,514",150,93,71,129,160,570,49,607,0.000%,.67244,0.43,0.42
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community/team.json-2,515",150,133,96,259,339,473,49,634,2.000%,.67246,3.76,0.37
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663617227&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&tag_exp=0~115938465~115938469~116991816~117266401~117512543~118463801&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2Fblog&dt=useCallback%20%E2%80%93%20React&_s=3&tfd=27904-2,516",150,100,80,131,244,582,55,583,0.000%,.67280,0.54,0.80
TOTAL,22050,178,92,352,535,1235,46,17781,1.973%,85.77564,460.81,44.49
